MutantID,TotalTests,KilledTests,Score
687,1,1,1.0
688,1,1,1.0
689,1,1,1.0
69,2,0,0.0
690,1,1,1.0
692,1,1,1.0
694,1,1,1.0
695,1,1,1.0
696,1,1,1.0
699,1,1,1.0
7,3,3,1.0
70,1,0,0.0
705,1,1,1.0
708,1,1,1.0
71,2,1,0.5
710,1,1,1.0
711,1,1,1.0
712,1,1,1.0
713,1,1,1.0
714,1,1,1.0
716,1,1,1.0
718,1,1,1.0
719,1,1,1.0
72,1,1,1.0
720,1,1,1.0
722,1,1,1.0
723,1,1,1.0
724,1,1,1.0
725,1,1,1.0
726,1,1,1.0
727,1,1,1.0
729,1,1,1.0
73,1,0,0.0
730,1,1,1.0
74,2,1,0.5
744,1,0,0.0
747,1,0,0.0
75,2,1,0.5
750,1,1,1.0
751,1,0,0.0
752,1,1,1.0
753,1,1,1.0
754,1,1,1.0
756,1,1,1.0
757,1,1,1.0
759,1,1,1.0
76,2,1,0.5
760,1,1,1.0
761,1,1,1.0
762,1,1,1.0
763,1,1,1.0
764,1,1,1.0
765,1,1,1.0
766,1,1,1.0
767,1,1,1.0
768,1,1,1.0
77,1,1,1.0
770,1,1,1.0
771,1,1,1.0
772,1,1,1.0
773,1,1,1.0
774,1,1,1.0
775,1,1,1.0
776,1,1,1.0
779,1,1,1.0
78,1,0,0.0
780,1,1,1.0
781,1,1,1.0
783,1,1,1.0
785,1,1,1.0
787,1,1,1.0
789,1,1,1.0
79,1,1,1.0
792,1,1,1.0
793,1,1,1.0
794,1,1,1.0
795,1,1,1.0
798,1,1,1.0
8,3,3,1.0
80,1,1,1.0
801,1,1,1.0
803,1,1,1.0
804,1,1,1.0
806,1,1,1.0
807,1,1,1.0
808,1,1,1.0
809,1,1,1.0
810,1,1,1.0
811,1,1,1.0
812,1,1,1.0
813,1,1,1.0
814,1,0,0.0
817,1,1,1.0
818,1,1,1.0
819,1,1,1.0
82,1,1,1.0
820,1,1,1.0
822,1,1,1.0
823,1,1,1.0
825,1,1,1.0
826,1,1,1.0
827,1,1,1.0
828,1,1,1.0
829,1,1,1.0
83,1,0,0.0
832,1,1,1.0
833,1,1,1.0
838,1,1,1.0
839,1,1,1.0
84,9,0,0.0
840,1,1,1.0
841,1,1,1.0
842,1,1,1.0
846,1,1,1.0
848,1,1,1.0
849,1,1,1.0
85,9,0,0.0
851,1,1,1.0
852,1,1,1.0
853,1,1,1.0
855,1,1,1.0
857,1,1,1.0
858,1,1,1.0
859,1,1,1.0
86,3,2,0.6666666666666666
863,1,1,1.0
864,1,1,1.0
865,1,1,1.0
866,1,1,1.0
867,1,1,1.0
869,1,1,1.0
87,9,0,0.0
870,1,1,1.0
871,1,1,1.0
873,1,1,1.0
874,1,1,1.0
875,1,1,1.0
876,1,1,1.0
877,1,1,1.0
879,1,1,1.0
88,9,0,0.0
880,1,1,1.0
881,1,1,1.0
883,1,1,1.0
885,1,1,1.0
887,1,1,1.0
888,1,1,1.0
89,9,0,0.0
891,1,1,1.0
892,1,1,1.0
893,1,1,1.0
894,1,1,1.0
9,3,3,1.0
90,6,1,0.16666666666666666
91,3,2,0.6666666666666666
92,5,2,0.4
93,3,2,0.6666666666666666
94,1,1,1.0
95,4,1,0.25
96,5,1,0.2
97,1,1,1.0
98,4,1,0.25
99,1,1,1.0
MutantNo,1,0,0.0
